gene,logfoldchange,pvals,pvals_adj,group
Thy1,-2.6912357807159424,3.185177273461027e-07,9.381965459384467e-07,Fib.5
Fxyd2,-3.047945499420166,3.016838255620498e-07,8.899227892685835e-07,Fib.5
Aplnr,-6.177687168121338,2.972694559245486e-07,8.78196324740173e-07,Fib.5
Tnip3,-6.036721706390381,2.7601793228224347e-07,8.166211014267558e-07,Fib.5
Il21r,-5.887931823730469,2.690992841111631e-07,7.97331212181224e-07,Fib.5
Myl2,-2.692138910293579,2.3140989466871996e-07,6.887199246092855e-07,Fib.5
Cotl1,-1.0797785520553589,2.185609144492441e-07,6.51448329207881e-07,Fib.5
Ccr2,-4.978177070617676,2.130572392177189e-07,6.359917588588624e-07,Fib.5
Clec4n,-6.647550582885742,1.8684823787462845e-07,5.602645813332187e-07,Fib.5
Clec4d,-5.03252649307251,1.8634448618255882e-07,5.595930515992757e-07,Fib.5
Ccr1,-5.382209300994873,1.833340633370243e-07,5.513806416151107e-07,Fib.5
Raet1e,-5.160676002502441,1.4584587464795354e-07,4.4062197778837926e-07,Fib.5
Cd72,-3.5411596298217773,1.2101396422010707e-07,3.661542033891288e-07,Fib.5
B4galt6,-1.4211585521697998,1.0933104475634858e-07,3.3231320594634827e-07,Fib.5
Rhoh,-5.466579437255859,9.435323786172873e-08,2.8722446837664756e-07,Fib.5
Fn1,-1.1351603269577026,8.588443170027015e-08,2.6184277957399435e-07,Fib.5
Bank1,-4.5119452476501465,8.376354634157495e-08,2.5576655371473266e-07,Fib.5
Sncg,-3.960672616958618,6.826190887528743e-08,2.0907169640210543e-07,Fib.5
Cyp4f18,-5.219057559967041,6.68427108810839e-08,2.050389904327727e-07,Fib.5
Cmah,-4.475499153137207,5.7592341175980674e-08,1.7720720361840205e-07,Fib.5
Lacc1,-1.573378562927246,4.877374620463203e-08,1.505362537180001e-07,Fib.5
Cbr2,-3.5041213035583496,3.647021240339041e-08,1.129108743139022e-07,Fib.5
Bcl2l11,-1.0053813457489014,3.160887661155994e-08,9.801202050096105e-08,Fib.5
Mylk,-2.1770167350769043,2.840846218645521e-08,8.836224630312662e-08,Fib.5
Lilra5,-5.530486583709717,2.0580950558217273e-08,6.431547049442897e-08,Fib.5
Pilra,-5.513001918792725,1.813902850447457e-08,5.6862158321236895e-08,Fib.5
Ltc4s,-4.206770420074463,1.812378566648408e-08,5.6862158321236895e-08,Fib.5
Bcl2a1d,-5.178739070892334,1.7896451034887773e-08,5.6278147908452114e-08,Fib.5
Gm34084,-3.862701416015625,1.564657533389965e-08,4.9358281810408994e-08,Fib.5
Tlr2,-1.4986953735351562,1.5590530931903564e-08,4.9259181459410943e-08,Fib.5
Nceh1,-1.1733962297439575,1.19735998333358e-08,3.801142804233588e-08,Fib.5
Csf3r,-4.73490047454834,1.0501729333682052e-08,3.33918261802291e-08,Fib.5
Slc7a8,-3.328831434249878,1.0029314347247844e-08,3.194049155174473e-08,Fib.5
Sap30,-1.3895553350448608,8.223471353982498e-09,2.623116859324561e-08,Fib.5
Gbp4,-3.0786290168762207,7.938189113265876e-09,2.5361626559954875e-08,Fib.5
Cd248,-1.3698533773422241,4.974057376648127e-09,1.604534637628428e-08,Fib.5
Gm6377,-4.3205485343933105,4.02801266702703e-09,1.3035639699116604e-08,Fib.5
